日期,投放,投放ID,投放,订单,显示数,点击数,(%)点击率,唯一显示数,唯一点击数
2018-06-14,C-Suite Targeting_MPU_1_300*250,606635,,O-18-008,2490,0,0,2217,0
2018-06-14,C-suite Section Targeting_MPU_1_300*600,606636,,O-18-008,2424,0,0,2186,0
2018-06-14,Global Economy Section Targeting_MPU_1_300*250,606633,,O-18-008,2701,0,0,2202,0
2018-06-14,Global Economy Section _MPU_1_300*600,606634,,O-18-008,2009,0,0,1681,0
2018-06-14,MOBILE-MPU2,606693,,BJ-18-027,89970,69,0.08,76105,68
2018-06-14,MOBILE-顶通,606692,,BJ-18-027,69963,55,0.08,60258,53
2018-06-14,MOBILE-顶通-补投,606694,,BJ-18-027,101707,61,0.06,84829,54
2018-06-14,Management Section Targeting_MPU_1_300*250,606619,,O-18-008,3719,0,0,3179,0
2018-06-14,Management Section Targeting_MPU_1_300*600,606618,,O-18-008,3720,0,0,3241,0
2018-06-14,Mobile-Mpu1,606727,,BJ-18-035,149852,227,0.15,117567,209
2018-06-14,Mobile-底通,606711,,BJ-18-033,129933,30,0.02,101908,28
2018-06-14,Mobile-顶通-补投,606728,,BJ-18-035,291616,213,0.07,208242,198
2018-06-14,Mobile-画中画1,606707,,BJ-18-033,0,1,0,0,1
2018-06-14,Mobile-画中画2,606712,,BJ-18-033,49992,55,0.11,44285,54
2018-06-14,Mobile-专题-mpu,606719,,BJ-18-033,10531,20,0.19,7238,20
2018-06-14,Mobile-专题-顶通,606718,,BJ-18-033,13963,20,0.14,8246,20
2018-06-14,PC-homepage-mpu1,606644,,BJ-18-029,21254,10,0.05,18303,10
2018-06-14,PC-homepage-mpu1-补投,606657,,BJ-18-029,225744,162,0.07,96759,130
2018-06-14,PC-homepage-mpu2,606647,,BJ-18-029,25502,8,0.03,22145,6
2018-06-14,Paid-post Ticker,606777,,SH-18-009,75703,506,0.67,55037,490
2018-06-14,mo-topbanner,606667,,SH-18-011,0,1,0,0,1
2018-06-14,mo-topbanner-bu,606721,,SH-18-011,83893,99,0.12,67474,94
2018-06-14,mobile-mpu1,606768,,BJ-18-002,109951,116,0.11,91601,108
2018-06-14,mobile-mpu1,606645,,BJ-18-029,159916,361,0.23,125960,307
2018-06-14,mobile-mpu1-补投,606740,,BJ-18-033,0,3,0,0,3
2018-06-14,mobile-mpu1-补投,606658,,BJ-18-029,300695,688,0.23,222803,568
2018-06-14,mobile-mpu2,606770,,BJ-18-002,209929,183,0.09,163669,177
2018-06-14,mobile-mpu2,606646,,BJ-18-029,249846,273,0.11,189769,234
